,MonthNum,YearNum,YearsFrac,YearsFloor,GrossPotentialRent,GeneralVacancy,NetRentalRevenue,OtherIncome,EffectiveGrossRevenue,OperatingExpenses,NetOperatingIncome,CapitalReserve,CapitalImprovements,CashFlowBeforeDebtService,InterestPayment,PrincipalPayment,CashFlowAfterDebtService
2027-11-01,80,7,6.583333333333333,6.0,207136.26122555305,-14499.538285788714,192636.72293976435,24296.388590919203,216933.11153068356,-86278.02729217842,130655.08423850514,-2252.3248385280003,0.0,128402.75939997713,-46156.903748584955,-24779.03962703905,57466.81602435313
2027-12-01,81,7,6.666666666666667,6.0,207814.3714442631,-14547.006001098418,193267.36544316466,24356.31003967713,217623.6754828418,-86455.74590208534,131167.92958075646,-2252.3248385280003,0.0,128915.60474222846,-46063.98234998356,-24871.96102564044,57979.66136660446
2028-01-01,82,7,6.75,6.0,208494.7016193728,-14594.629113356097,193900.0725060167,24416.37927089284,218316.45177690955,-86633.83058323077,131682.6211936788,-2252.3248385280003,0.0,129430.29635515079,-45970.712496137414,-24965.23087948659,58494.352979526775
2028-02-01,83,7,6.833333333333333,6.0,209177.25901844184,-14642.40813129093,194534.8508871509,24476.596649037747,219011.44753618864,-86812.28208966153,132199.16544652713,-2252.3248385280003,0.0,129946.84060799913,-45877.09288033934,-25058.850495284663,59010.89723237513
2028-03-01,84,7,6.916666666666667,6.0,209862.05093282185,-14690.343565297531,195171.70736752433,24536.962539482134,219708.66990700646,-86991.10117697764,132717.5687300288,-2252.3248385280003,0.0,130465.24389150081,-45783.12219098202,-25152.82118464198,59529.300515876814
2028-04-01,85,8,7.0,7.0,210549.08467773444,-14738.435927441413,195810.64875029304,24597.477308497404,220408.12605879045,-87170.28860233557,133237.83745645487,-2297.37133529856,0.0,130940.4661211563,-45688.79911153962,-25247.14426408438,60004.5227455323
2028-05-01,86,8,7.083333333333333,7.0,211238.3675923495,-14786.685731464466,196451.68186088503,24658.141323258274,221109.82318414332,-87349.8451244513,133759.97805969202,-2297.37133529856,0.0,131462.60672439347,-45594.12232054931,-25341.821055074695,60526.66334876947
2028-06-01,87,8,7.166666666666667,7.0,211929.90703986332,-14835.093492790435,197094.81354707287,24718.95495184502,221813.7684989179,-87529.77150360381,134283.99699531408,-2297.37133529856,0.0,131986.62566001553,-45499.09049159278,-25436.85288403122,61050.68228439153
2028-07-01,88,8,7.25,7.0,212623.71040757746,-14883.659728530423,197740.05067904704,24779.91856324569,222519.96924229272,-87710.068501638,134809.90074065473,-2297.37133529856,0.0,132512.52940535618,-45403.702293277674,-25532.24108234633,61576.58602973218
2028-08-01,89,8,7.333333333333333,7.0,213319.78510697745,-14932.384957488423,198387.40014948903,24841.032527358366,223228.43267684738,-87890.73688196807,135337.6957948793,-2297.37133529856,0.0,133040.32445958076,-45307.95638921886,-25627.986986405143,62104.38108395676
2028-09-01,90,8,7.416666666666667,7.0,214018.1385738123,-14981.269700166862,199036.86887364544,24902.2972149934,223939.16608863883,-88071.77740958075,135867.38867905806,-2297.37133529856,0.0,133570.0173437595,-45211.851438019854,-25724.09193760415,62634.0739681355
2028-10-01,91,8,7.5,7.0,214718.7782681735,-15030.314478772147,199688.46378940137,24963.712997875657,224652.17678727704,-88253.19085103854,136398.9859362385,-2297.37133529856,0.0,134101.61460093994,-45115.38609325383,-25820.557282370173,63165.67122531594
2028-11-01,92,8,7.583333333333333,7.0,215421.71167457517,-15079.519817220264,200342.19185735492,25025.28024864678,225367.4721060017,-88434.97797448287,136932.49413151882,-2297.37133529856,0.0,134635.12279622027,-45018.559003444956,-25917.384372179047,63699.179420596265
2028-12-01,93,8,7.666666666666667,7.0,216126.9463020336,-15128.886241142354,200998.06006089126,25086.999340867445,226085.0594017587,-88617.13954963748,137467.91985212124,-2297.37133529856,0.0,135170.5485168227,-44921.36881204927,-26014.57456357473,64234.605141198685
2029-01-01,94,8,7.75,7.0,216834.48968414773,-15178.414277890342,201656.07540625738,25148.870649019627,226804.94605527702,-88799.67634781153,138005.2697074655,-2297.37133529856,0.0,135707.89837216694,-44823.81415743589,-26112.129218188114,64771.95499654293
2029-02-01,95,8,7.833333333333333,7.0,217544.34937917953,-15228.10445654257,202316.24492263695,25210.894548508877,227527.1394711458,-88982.58914190307,138544.55032924275,-2297.37133529856,0.0,136247.1789939442,-44725.89367286768,-26210.049702756325,65311.23561832019
2029-03-01,96,8,7.916666666666667,7.0,218256.5329701347,-15277.95730790943,202978.57566222525,25273.071415666596,228251.64707789186,-89165.87870640209,139085.76837148977,-2297.37133529856,0.0,136788.39703619122,-44627.60598648234,-26308.337389141663,65852.4536605672
